date,Animal Behaviour,Bao,One Small Step,Detainment,Fauve,Skin,A Quiet Place,Avengers: Infinity War,Christopher Robin,Ready Player One,Solo: A Star Wars Story,First Reformed,Pain and Glory,Marriage Story,Joker,The Two Popes,A Beautiful Day in the Neighborhood,The Irishman,Harriet,Little Women,Bombshell,Judy,Richard Jewell,Jojo Rabbit,How to Train Your Dragon: The Hidden World,I Lost My Body,Klaus,Missing Link,Toy Story 4,The Lighthouse,1917,Parasite,American Factory,The Cave,For Sama,Honeyland,Ford v Ferrari,Corpus Christi,Maleficent: Mistress of Evil,Star Wars: The Rise of Skywalker,Rocketman,Breakthrough,Frozen II,Hair Love,Kitbull,Memorable,Brotherhood,The Neighbors' Window,Saria,Ad Astra,Avengers: Endgame,The Lion King,Knives Out
2018-07-23,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-24,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-02,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-03,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-04,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-05,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-06,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-07,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-08,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-09,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-10,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-11,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-12,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-13,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
